name,osm_id,latitude,longitude,accessible
Gare d'Houilles - Carrières sur Seine,{26742369},48.9203471,2.1854282,True
Sainte-Geneviève-des-Bois,{3484287068},48.653119,2.3132967,False
Le Stade,{90456140},48.9313958,2.2607295,False
Balard,{260231828},48.8363894,2.2784,True
GARE DE ST GERMAIN EN LAYE GRANDE CEINTURE,{2315855073},48.9030262,2.0729746,True
Sèvres - Ville d'Avray,{3571788993},48.8274256,2.2007149,False
Porte des Lilas,{264690368},48.8771276,2.4066804,True
Le Bourget,{15256287},48.9308053,2.4262059,False
Funiculaire Gare Haute,{3417692499},48.8856581,2.3425549,True
Porte de Saint-Cloud,{260767430},48.8377707,2.2565741,False
Us,{3571624298},49.0996212,1.9705457,False
VAUBAN,{3260069570},48.8071476,2.294042,True
Rosny-sur-Seine,{706197595},48.9973861,1.6301221,False
Jourdain,{264692522},48.8750969,2.3893345,False
Ségur,{261665825},48.8470802,2.3076354,False
Gretz-Armainvilliers,{331941535},48.7454489,2.7285636,False
CHATELET LES HALLES,{3190883103},48.8621487,2.3467922,True
La Grande-Paroisse,{195503010},48.3787751,2.8971614,False
SUZANNE LENGLEN,{318674781},48.8332631,2.2770251,True
PETIT PIERREFITTE,{2055931212},48.9526282,2.3580013,True
PORTE DE PANTIN - PARC DE LA VILLETTE,{1088638583},48.8890047,2.3956842,True
Louise Michel,{255162203},48.8882803,2.2884734,False
GARE DE NOISY LE SEC,{3580701493},48.8965358,2.4597443,True
PABLO NERUDA,{3349833171},48.9567618,2.3429559,True
Breuillet - Bruyères-le-Châtel,{3484326008},48.577426,2.1918832,False
HENRI FARMAN,{591810466},48.8347682,2.270721,True
Bueil,{26869582},48.9252787,1.4434407,False
Épluches,{186714652},49.0549329,2.1225973,False
Malesherbes,"{243510678, 818899103}",48.8828638,2.3092274,False
GEORGES BRASSENS,{1777319430},48.8298202,2.2956776,True
TIMBAUD,{1810231869},48.9327702,2.3012942,True
Nanteuil - Saâcy,{3497800893},48.9738082,3.2200172,False
Asnieres Gennevilliers Les Courtilles,{269337982},48.9305465,2.2836436,True
Bolivar,{243358029},48.8808997,2.373886,False
Campo-Formio,{265055750},48.8356584,2.3588519,False
Les Agnettes,{269337980},48.9231172,2.2862019,False
LES BEATUS,{2671357379},48.9517935,2.3198128,True
GARE D'ASNIERES,{27233097},48.905805,2.2828179,True
Lardy,{3484287064},48.520741,2.2555159,False
Concorde,{3763562357},48.8662052,2.3223767,False
GARE DE BOIS COLOMBES,{1545044391},48.9141353,2.27174,True
Vaux-sur-Seine,{3571235126},49.0071652,1.9635082,False
Temple,{243507792},48.8665083,2.3606199,False
BRIMBORION,{314640918},48.8221655,2.2313906,True
THEATRE GERARD PHILIPE,{2283276557},48.9375007,2.3504118,True
Porte Maillot,{2493410447},48.8779888,2.2817745,False
Créteil — Pointe du Lac,{928458344},48.7687211,2.4643844,False
LES PAVILLONS SOUS BOIS T4,{2845952939},48.9026648,2.5119616,True
Gare de Sannois,{2361279397},48.9701713,2.263833,True
Champagne-sur-Oise,{3580062296},49.136119,2.2430625,False
Enghien-Les-Bains,{57827506},48.9728942,2.3068825,False
Brochant,{261611884},48.890517,2.3201235,False
Paul Valéry,{1616874193},48.9792725,2.380158,True
PIERRE DE GEYTER,{2712192227},48.9320714,2.3526931,True
Ris-Orangis,{3533478899},48.6593057,2.4143688,False
Créteil — L'Échat (Hôpital Henri Mondor),{300867961},48.7963514,2.449235,False
Porte de Choisy,{472985883},48.8201086,2.3647992,True
Crécy-la-Chapelle,{3533202098},48.8594852,2.9059075,False
Juziers,{574274976},48.9922338,1.8457308,False
GARE DE CHATOU CROISSY,{231286269},48.8851789,2.1562111,True
Nucourt,{2281465765},49.1645883,1.849318,False
Boigneville,{3549779824},48.342078,2.3789793,False
GARE DE BONDY,{475659189},48.8940116,2.4805455,True
Esbly,{498749122},48.9032069,2.8106623,False
PORT ROYAL,{327432580},48.8399194,2.3370971,True
Saint-Quentin-en-Yvelines,{3530910105},48.7874524,2.0445253,False
GARE DE SEVRAN LIVRY,{15256273},48.9364157,2.5348345,True
Saint-Sébastien - Froissart,{264479724},48.8610965,2.3672267,False
Philippe Auguste,"{243490763, 2582044619}",48.8582563,2.3901666,False
Argentine,{27362240},48.8752564,2.2902302,False
GARE DE VERSAILLES RIVE DROITE,{3497429193},48.8095879,2.1357285,True
GARE DE CONFLANS STE HONORINE,{415577799},48.9965922,2.0977217,True
